time_s,volts
0.000112,0.000424655947
0.0001122,0.000440171406
0.0001124,0.000448823069
0.0001126,0.000450424604
0.0001128,0.00044490024
0.000113,0.000432286757
0.0001132,0.000412733708
0.0001134,0.000386501841
0.0001136,0.000353959746
0.0001138,0.000315578765
0.000114,0.000271926234
0.0001142,0.000223657145
0.0001144,0.000171504369
0.0001146,0.000116267555
0.0001148,5.88009075e-05
0.000115,2.998687e-18
0.0001152,-5.92121574e-05
0.0001154,-0.000117899583
0.0001156,-0.000175128097
0.0001158,-0.000229980166
0.000116,-0.000281569593
0.0001162,-0.000329055798
0.0001164,-0.00037165749
0.0001166,-0.000408665475
0.0001168,-0.000439454419
0.000117,-0.000463493348
0.0001172,-0.000480354735
0.0001174,-0.000489721989
0.0001176,-0.000491395248
0.0001178,-0.000485295347
0.000118,-0.000471465901
0.0001182,-0.000450073445
0.0001184,-0.000421405632
0.0001186,-0.000385867486
0.0001188,-0.000343975767
0.000119,-0.000296351526
0.0001192,-0.000243710951
0.0001194,-0.000186854636
0.0001196,-0.000126655447
0.0001198,-6.40451458e-05
0.00012,-1.50693278e-18
0.0001202,6.44744189e-05
0.0001204,0.000128358999
0.0001206,0.000190637175
0.0001208,0.000250311081
0.000121,0.000306417509
0.0001212,0.000358043436
0.0001214,0.000404340841
0.0001216,0.000444540597
0.0001218,0.000477965202
0.000122,0.000504040134
0.0001222,0.000522303651
0.0001224,0.000532414857
0.0001226,0.000534159911
0.0001228,0.000527456252
0.000123,0.000512354768
0.0001232,0.000489039863
0.0001234,0.0004578274
0.0001236,0.00041916055
0.0001238,0.000373603581
0.000124,0.000321833696
0.0001242,0.000264631016
0.0001244,0.000202866869
0.0001246,0.000137490553
0.0001248,6.95147779e-05
0.000125,7.63398463e-18
0.0001252,-6.99620923e-05
0.0001254,-0.000139265702
0.0001256,-0.00020680838
0.0001258,-0.000271508535
0.000126,-0.00033232273
0.0001262,-0.000388262483
0.0001264,-0.000438410299
0.0001266,-0.000481934676
0.0001268,-0.000518103847
0.000127,-0.000546298023
0.0001272,-0.000566019931
0.0001274,-0.000576903482
0.0001276,-0.000578720405
0.0001278,-0.000571384739
0.000128,-0.000554955089
0.0001282,-0.000529634611
0.0001284,-0.000495768688
0.0001286,-0.000453840348
0.0001288,-0.000404463463
0.000129,-0.000348373822
0.0001292,-0.000286418227
0.0001294,-0.000219541745
0.0001296,-0.000148773334
0.0001298,-7.52100353e-05
0.00013,-6.19362236e-18
0.0001302,7.56754101e-05
0.0001304,0.000150620155
0.0001306,0.000223642395
0.0001308,0.000293573426
0.000131,0.000359286351
0.0001312,0.000419714218
0.0001314,0.000473867305
0.0001316,0.000520849294
0.0001318,0.000559872053
0.000132,0.000590268803
0.0001322,0.000611505426
0.0001324,0.000623189747
0.0001326,0.000625078616
0.0001328,0.000617082667
0.000133,0.000599268668
0.0001332,0.000571859407
0.0001334,0.000535231099
0.0001336,0.000489908348
0.0001338,0.000436556718
0.000134,0.000375973028
0.0001342,0.000309073506
0.0001344,0.000236879971
0.0001346,0.000160504265
0.0001348,8.1131159e-05
0.000135,4.45338025e-18
0.0001352,-8.16146138e-05
0.0001354,-0.000162422836
0.0001356,-0.000241139933
0.0001358,-0.000316506687
0.000136,-0.000387309513
0.0001362,-0.00045239997
0.0001364,-0.00051071336
0.0001366,-0.000561286097
0.0001368,-0.000603271586
0.000137,-0.000635954334
0.0001372,-0.000658762058
0.0001374,-0.000671275608
0.0001376,-0.000673236503
0.0001378,-0.000664551969
0.000138,-0.000645297378
0.0001382,-0.000615716038
0.0001384,-0.000576216304
0.0001386,-0.000527366074
0.0001388,-0.000469884702
0.000139,-0.00040463248
0.0001392,-0.000332597811
0.0001394,-0.000254882279
0.0001396,-0.000172683844
0.0001398,-8.72783993e-05
0.00014,-1.23191566e-17
0.0001402,8.77799544e-05
0.0001404,0.000174674245
0.0001406,0.000259301733
0.0001408,0.000340309288
0.000141,0.0004163934
0.0001412,0.000486321122
0.0001414,0.00054895002
0.0001416,0.000603246794
0.0001418,0.00064830428
0.000142,0.000683356545
0.0001422,0.000707791825
0.0001424,0.000721163099
0.0001426,0.000723196102
0.0001428,0.000713794649
0.000143,0.000693043164
0.0001432,0.000661206354
0.0001434,0.000618726033
0.0001436,0.000566215107
0.0001438,0.000504448824
0.000144,0.000434353389
0.0001442,0.000356992135
0.0001444,0.00027354943
0.0001446,0.000185312584
0.0001448,9.36520157e-05
0.000145,1.0647207e-17
0.0001452,-9.41716925e-05
0.0001454,-0.000187374899
0.0001456,-0.000278128562
0.0001458,-0.000364982233
0.000146,-0.000446539239
0.0001462,-0.000521479104
0.0001464,-0.000588578899
0.0001466,-0.000646733156
0.0001468,-0.000694972036
0.000147,-0.000732477438
0.0001472,-0.000758596796
0.0001474,-0.000772854324
0.0001476,-0.000774959521
0.0001478,-0.000764812787
0.000148,-0.00074250804
0.0001482,-0.000708332277
0.0001484,-0.00066276208
0.0001486,-0.000606457089
0.0001488,-0.000540250541
0.000149,-0.000465137008
0.0001492,-0.000382257507
0.0001494,-0.00029288221
0.0001496,-0.000198391017
0.0001498,-0.000100252277
0.00015,-2.00429066e-17
0.0001502,0.000100790097
0.0001504,0.000200525335
0.0001506,0.000297621213
0.0001508,0.000390526564
0.000151,0.000477748304
0.0001512,0.000557875401
0.0001514,0.000629601668
0.0001516,0.000691747017
0.0001518,0.000743276822
0.000152,0.000783319085
0.0001522,0.000811179114
0.0001524,0.000826351462
0.0001526,0.000828528943
0.0001528,0.000817608534
0.000153,0.000793694092
0.0001532,0.000757095793
0.0001534,0.000708326302
